Time,Action,PosX,PosY,PosZ,Score
0,Start,-1.790738E-07,1,9.303034E-08,0
1.754954,Move,-0.04790128,0.9999999,0.08979338,0
1.802628,Move,-0.1129167,1,0.1662433,0
1.843022,Move,-0.197375,1,0.2394512,0
1.873391,Move,-0.2806488,0.9999999,0.2955743,0
1.90448,Move,-0.3832703,0.9999999,0.3514947,0
1.929543,Move,-0.4788761,0.9999999,0.3942451,0
1.955761,Move,-0.5910911,1,0.4358768,0
1.977459,Move,-0.6929437,1,0.4674848,0
2.000056,Move,-0.8022414,1,0.4960809,0
2.022337,Move,-0.9110607,0.9999998,0.5199121,0
2.04716,Move,-1.033199,0.9999999,0.5419601,0
2.071428,Move,-1.15323,1,0.5596921,0
2.093831,Move,-1.264409,0.9999999,0.5733452,0
2.115365,Move,-1.3715,1,0.5845153,0
2.136432,Move,-1.476389,0.9999999,0.5941642,0
2.157409,Move,-1.580907,0.9999999,0.6029505,0
2.180981,Move,-1.698387,0.9999999,0.612439,0
2.203416,Move,-1.810199,0.9999999,0.621443,0
2.227061,Move,-1.928044,0.9999999,0.6309326,0
2.248446,Move,-2.034627,0.9999999,0.6395155,0
2.272113,Move,-2.152581,0.9999999,0.6490138,0
2.292315,Move,-2.253268,0.9999999,0.657122,0
2.314223,Move,-2.362453,0.9999999,0.6659144,0
2.337463,Move,-2.478277,0.9999999,0.6752414,0
2.357845,Move,-2.579863,0.9999999,0.6834219,0
2.379851,Move,-2.689539,0.9999999,0.6922539,0
2.400628,Move,-2.793088,1,0.7005924,0
2.421869,Move,-2.898953,1,0.7091174,0
2.447408,Move,-3.026237,1,0.7193672,0
2.46766,Move,-3.12717,1,0.727495,0
2.490059,Move,-3.238808,1,0.7364848,0
2.513245,Move,-3.354364,1,0.7457902,0
2.535652,Move,-3.46604,1,0.7547832,0
2.560822,Move,-3.591487,1,0.7648851,0
2.582224,Move,-3.69814,0.9999999,0.7736196,0
2.606375,Move,-3.818429,0.9999999,0.7842338,0
2.630429,Move,-3.938093,0.9999999,0.7963014,0
2.651278,Move,-4.041619,1,0.808539,0
2.675581,Move,-4.161939,0.9999999,0.8255226,0
2.69569,Move,-4.261074,0.9999998,0.8422862,0
2.719266,Move,-4.37661,0.9999998,0.865644,0
2.742682,Move,-4.490351,0.9999999,0.8934028,0
2.763494,Move,-4.590277,0.9999999,0.922416,0
2.78489,Move,-4.691531,1,0.9569168,0
2.808765,Move,-4.802274,0.9999999,1.001449,0
2.830638,Move,-4.901066,0.9999998,1.048329,0
2.851711,Move,-4.993294,0.9999999,1.099248,0
2.874378,Move,-5.088715,1,1.160375,0
2.894618,Move,-5.170573,1,1.219865,0
2.916605,Move,-5.255752,0.9999999,1.289349,0
2.937619,Move,-5.333884,1,1.359592,0
2.959195,Move,-5.410794,1,1.435235,0
2.979491,Move,-5.480302,0.9999999,1.509165,0
3.001081,Move,-5.551453,0.9999999,1.590349,0
3.025212,Move,-5.627987,1,1.683619,0
3.045583,Move,-5.690471,0.9999999,1.764057,0
3.069677,Move,-5.762328,0.9999999,1.860752,0
3.092853,Move,-5.82983,0.9999999,1.95494,0
3.116208,Move,-5.896821,0.9999999,2.050592,0
3.139077,Move,-5.961905,0.9999999,2.14461,0
3.161627,Move,-6.025826,1,2.237498,0
3.182499,Move,-6.084407,0.9999999,2.323868,0
3.203032,Move,-6.141092,0.9999999,2.409464,0
3.223355,Move,-6.195895,0.9999999,2.495038,0
3.244318,Move,-6.250648,0.9999998,2.584413,0
3.267995,Move,-6.3098,0.9999999,2.686957,0
3.289011,Move,-6.359371,0.9999998,2.779607,0
3.311332,Move,-6.408421,1,2.879849,0
3.332978,Move,-6.451937,1,2.978941,0
3.355532,Move,-6.492108,1,3.084303,0
3.377032,Move,-6.52542,0.9999999,3.186503,0
3.400631,Move,-6.555341,1,3.300625,0
3.424355,Move,-6.577799,1,3.417078,0
3.445389,Move,-6.591558,1,3.521335,0
3.467951,Move,-6.600297,1,3.633794,0
3.489884,Move,-6.603407,0.9999999,3.74341,0
3.513221,Move,-6.601536,0.9999999,3.86007,0
3.534515,Move,-6.59564,1,3.966374,0
3.557153,Move,-6.585593,0.9999999,4.079115,0
3.577795,Move,-6.573599,0.9999998,4.181624,0
3.598153,Move,-6.55956,0.9999999,4.282443,0
3.619257,Move,-6.54316,0.9999998,4.386678,0
3.639447,Move,-6.526166,0.9999998,4.486188,0
3.659748,Move,-6.508224,0.9999996,4.5861,0
3.680484,Move,-6.489466,0.9999996,4.688068,0
3.702315,Move,-6.469595,0.9999998,4.795399,0
3.723162,Move,-6.450216,0.9999998,4.89782,0
3.744247,Move,-6.429735,0.9999997,5.001237,0
3.767732,Move,-6.405308,0.9999996,5.116096,0
3.789334,Move,-6.380767,0.9999996,5.22128,0
3.809852,Move,-6.355171,0.9999995,5.320621,0
3.830104,Move,-6.327299,0.9999996,5.417971,0
3.851846,Move,-6.294012,0.9999997,5.521454,0
3.875718,Move,-6.252968,0.9999996,5.633526,0
3.897978,Move,-6.209888,0.9999996,5.736138,0
3.921829,Move,-6.158617,0.9999997,5.843806,0
3.945407,Move,-6.103543,0.9999996,5.94803,0
3.968651,Move,-6.045557,0.9999997,6.048748,0
3.988747,Move,-5.992955,0.9999997,6.134356,0
4.011462,Move,-5.931274,0.9999997,6.229724,0
4.035123,Move,-5.865064,0.9999996,6.327763,0
4.057096,Move,-5.802297,0.9999995,6.417933,0
4.079808,Move,-5.73665,0.9999995,6.510599,0
4.100836,Move,-5.675592,0.9999999,6.596199,0
4.121512,Move,-5.61554,0.9999997,6.680349,0
4.143357,Move,-5.552094,0.9999999,6.769256,0
4.165375,Move,-5.488144,0.9999996,6.858871,0
4.187257,Move,-5.424592,0.9999996,6.947931,0
4.209768,Move,-5.359212,0.9999996,7.03955,0
4.232892,Move,-5.292054,0.9999995,7.133662,0
4.256751,Move,-5.222756,0.9999994,7.230772,0
4.262742,Move,-5.205358,1.096075,7.255153,0
4.280556,Move,-5.153619,1.188227,7.327655,0
4.303526,Move,-5.086903,1.276454,7.421144,0
4.323407,Move,-5.02916,1.360758,7.502058,0
4.340388,Move,-4.97984,1.441137,7.57117,0
4.36209,Move,-4.916809,1.517593,7.659496,0
4.383976,Move,-4.853096,1.590124,7.748467,0
4.402936,Move,-4.797482,1.658732,7.825239,0
4.421118,Move,-4.743507,1.723415,7.898389,0
4.441739,Move,-4.681224,1.784175,7.980558,0
4.460654,Move,-4.622781,1.841011,8.054914,0
4.483284,Move,-4.550869,1.893922,8.142268,0
4.504781,Move,-4.480199,1.94291,8.223248,0
4.525974,Move,-4.407948,1.987973,8.300755,0
4.544432,Move,-4.342692,2.029112,8.366011,0
4.566016,Move,-4.263462,2.066327,8.439277,0
4.588529,Move,-4.177328,2.099618,8.511728,0
4.607982,Move,-4.10059,2.128985,8.570572,0
4.630846,Move,-4.012449,2.154428,8.632118,0
4.65693,Move,-3.91647,2.175946,8.691986,0
4.682489,Move,-3.828004,2.207213,8.740623,0
4.711066,Move,-3.736571,2.216961,8.78425,0
4.7452,Move,-3.639154,2.224684,8.823169,0
4.88601,Move,-3.661864,2.128113,8.808371,0
4.92824,Move,-3.735785,2.065205,8.767729,0
4.96184,Move,-3.808992,1.986601,8.722414,0
4.993937,Move,-3.890562,1.941414,8.668064,0
5.022041,Move,-3.971384,1.839267,8.611731,0
5.046727,Move,-4.049814,1.782308,8.555808,0
5.0664,Move,-4.117458,1.721425,8.507228,0
5.085369,Move,-4.187124,1.656618,8.457177,0
5.101013,Move,-4.247895,1.587886,8.413516,0
5.122293,Move,-4.334085,1.515231,8.351591,0
5.140969,Move,-4.409935,1.438651,8.297125,0
5.161699,Move,-4.494306,1.358148,8.236921,0
5.182878,Move,-4.58097,1.273721,8.176076,0
5.202746,Move,-4.662943,1.18537,8.119959,0
5.223882,Move,-4.751111,1.093095,8.061699,0
5.240904,Move,-4.823002,0.9968953,8.016141,0
5.260909,Move,-4.908649,0.9993793,7.964484,0
5.282091,Move,-5.000889,0.9998761,7.91245,0
5.303047,Move,-5.093848,0.9999754,7.864112,0
5.325419,Move,-5.195086,0.9999955,7.816553,0
5.34775,Move,-5.296183,0.9999996,7.774654,0
5.361362,Move,-5.355481,1.096076,7.752895,0
5.382471,Move,-5.443599,1.188229,7.724741,0
5.402324,Move,-5.521917,1.276458,7.704332,0
5.423504,Move,-5.600183,1.360763,7.688839,0
5.4432,Move,-5.667653,1.441144,7.679956,0
5.467217,Move,-5.74279,1.5176,7.675433,0
5.495644,Move,-5.820606,1.590133,7.677851,0
5.522958,Move,-5.883558,1.723426,7.685918,0
5.561352,Move,-5.951827,1.841023,7.70263,0
5.603614,Move,-5.999981,1.942924,7.721746,0
5.660535,Move,-6.023725,2.066344,7.735605,0
5.743352,Move,-5.99827,2.175968,7.705898,0
5.805088,Move,-5.952038,2.216984,7.622573,0
5.848447,Move,-5.919016,2.224707,7.526786,0
5.884156,Move,-5.89712,2.216735,7.424572,0
5.917589,Move,-5.883679,2.206861,7.310077,0
5.94267,Move,-5.879607,2.175344,7.212659,0
5.966844,Move,-5.882429,2.153699,7.109835,0
5.991005,Move,-5.89377,2.128131,6.998855,0
6.014002,Move,-5.914075,2.098639,6.887059,0
6.036484,Move,-5.942362,2.065222,6.780481,0
6.057055,Move,-5.973342,2.027882,6.691169,0
6.078552,Move,-6.009795,1.986618,6.606717,0
6.10146,Move,-6.051892,1.892318,6.526634,0
6.12565,Move,-6.098558,1.839282,6.453273,0
6.154347,Move,-6.154703,1.782322,6.380568,0
6.181494,Move,-6.206454,1.656631,6.325633,0
6.214867,Move,-6.265204,1.587899,6.275253,0
6.240133,Move,-6.30422,1.438663,6.248242,0
6.280787,Move,-6.353721,1.273731,6.221584,0
6.322412,Move,-6.383756,1.093103,6.210426,0
6.433779,Move,-6.344977,0.9999946,6.207723,0
6.496698,Move,-6.244683,0.9999993,6.183687,0
6.540047,Move,-6.14797,0.9999995,6.141268,0
6.57703,Move,-6.052238,0.999999,6.082228,0
6.605922,Move,-5.971947,0.9999993,6.019015,0
6.632093,Move,-5.897202,0.999999,5.947438,0
6.6589,Move,-5.820739,0.9999986,5.85959,0
6.682912,Move,-5.754074,0.9999995,5.767859,0
6.704926,Move,-5.696894,0.999999,5.674155,0
6.728942,Move,-5.643406,0.999999,5.568117,0
6.752498,Move,-5.602518,0.9999989,5.467093,0
6.7801,Move,-5.56839,0.9999995,5.355051,0
6.808266,Move,-5.547164,0.9999994,5.249441,0
6.842388,Move,-5.534081,0.9999996,5.135643,0
6.880303,Move,-5.521856,0.9999998,5.029494,0
6.925944,Move,-5.507914,0.9999998,4.930394,0
7.008814,Move,-5.486968,0.9999998,4.830814,0
7.914732,Move,-5.389573,0.9999995,4.862122,0
7.962335,Move,-5.291699,0.9999996,4.885573,0
8.000995,Move,-5.185883,0.9999995,4.899549,0
8.032388,Move,-5.082874,0.9999986,4.905768,0
8.060768,Move,-4.976836,0.9999992,4.906785,0
8.088345,Move,-4.862278,0.9999986,4.903418,0
8.112304,Move,-4.753627,0.9999982,4.897097,0
8.135473,Move,-4.640685,0.9999976,4.888241,0
8.158617,Move,-4.525461,0.999997,4.877566,0
8.180746,Move,-4.415385,0.999999,4.866422,0
8.201517,Move,-4.312093,0.999999,4.855649,0
8.221969,Move,-4.210392,0.999999,4.845023,0
8.245228,Move,-4.094725,0.9999988,4.832939,0
8.265983,Move,-3.991513,0.9999987,4.822156,0
8.287161,Move,-3.886197,0.9999986,4.811154,0
8.307902,Move,-3.783053,0.9999985,4.800379,0
8.328097,Move,-3.68263,0.9999985,4.789888,0
8.348997,Move,-3.578697,0.9999982,4.779032,0
8.37275,Move,-3.460576,0.9999979,4.766693,0
8.392764,Move,-3.36105,0.9999978,4.756297,0
8.415599,Move,-3.247494,0.9999975,4.744434,0
8.439482,Move,-3.128728,0.9999969,4.732029,0
8.462661,Move,-3.013461,0.999999,4.71999,0
8.484493,Move,-2.904891,0.9999988,4.708651,0
8.505672,Move,-2.799571,0.9999986,4.697651,0
8.525881,Move,-2.699076,0.9999984,4.687154,0
8.548151,Move,-2.588331,0.9999982,4.675587,0
8.570755,Move,-2.475923,0.9999979,4.663854,0
8.593072,Move,-2.364915,0.9999978,4.652535,0
8.613534,Move,-2.263062,0.9999977,4.642857,0
8.637143,Move,-2.145423,0.9999973,4.633119,0
8.660363,Move,-2.029569,0.9999992,4.625672,0
8.68354,Move,-1.91378,0.9999989,4.62101,0
8.707223,Move,-1.795377,0.9999987,4.619797,0
8.730232,Move,-1.680375,0.9999985,4.622685,0
8.753043,Move,-1.566575,0.9999982,4.630144,0
8.773308,Move,-1.465854,0.9999983,4.64113,0
8.793636,Move,-1.365417,0.9999983,4.656684,0
8.816788,Move,-1.252136,0.9999982,4.680408,0
8.839233,Move,-1.1439,0.999998,4.710021,0
8.859248,Move,-1.049206,0.9999983,4.742339,0
8.880648,Move,-0.9503904,0.9999994,4.783332,0
8.904252,Move,-0.8446305,0.9999995,4.835664,0
8.928997,Move,-0.737011,0.9999994,4.896699,0
8.949088,Move,-0.64982,0.9999994,4.946594,0
8.969802,Move,-0.5596066,0.9999994,4.997465,0
8.99082,Move,-0.4675055,0.9999993,5.048077,0
9.011354,Move,-0.3767735,0.9999992,5.096133,0
9.032115,Move,-0.2840994,0.9999992,5.14289,0
9.052491,Move,-0.192062,0.999999,5.186574,0
9.075535,Move,-0.08653637,0.9999988,5.232816,0
9.098119,Move,0.01849005,0.9999987,5.274278,0
9.120582,Move,0.1245889,0.9999995,5.311102,0
9.141253,Move,0.223669,0.9999993,5.340507,0
9.164787,Move,0.33803,0.9999989,5.368164,0
9.188695,Move,0.455694,0.9999986,5.38913,0
9.212201,Move,0.5724946,0.9999982,5.402004,0
9.232947,Move,0.6761163,0.9999978,5.40635,0
9.253383,Move,0.7782431,0.9999977,5.40375,0
9.273692,Move,0.8793037,0.9999975,5.394026,0
9.293839,Move,0.978592,0.9999974,5.377152,0
9.302566,Move,1.021201,1.096072,5.367742,0
9.3233,Move,1.12114,1.188222,5.340234,0
9.341675,Move,1.207813,1.276447,5.309818,0
9.363891,Move,1.309746,1.360748,5.26574,0
9.38151,Move,1.387978,1.441125,5.225262,0
9.401339,Move,1.472892,1.517578,5.174119,0
9.420923,Move,1.553092,1.590107,5.117967,0
9.443082,Move,1.638901,1.658711,5.04792,0
9.460204,Move,1.701366,1.723393,4.989392,0
9.480455,Move,1.770604,1.784149,4.915538,0
9.500816,Move,1.834782,1.840982,4.836532,0
9.521242,Move,1.893357,1.893891,4.752894,0
9.54178,Move,1.946086,1.942875,4.664799,0
9.562366,Move,1.992472,1.987936,4.572937,0
9.584584,Move,2.034802,2.029072,4.47067,0
9.607571,Move,2.068212,2.066284,4.367573,0
9.632938,Move,2.093416,2.099573,4.259988,0
9.658614,Move,2.10785,2.128938,4.159023,0
9.686666,Move,2.113498,2.1759,4.058983,0
9.721449,Move,2.109803,2.207165,3.951168,0
9.76322,Move,2.096034,2.222734,3.846464,0
9.821526,Move,2.072196,2.216659,3.745624,0
9.921553,Move,2.053158,2.128059,3.689096,0
9.982533,Move,2.053158,2.027811,3.689096,0
10.04288,Move,2.053158,1.892247,3.689097,0
10.0828,Move,2.053158,1.782252,3.689098,0
10.1237,Move,2.053158,1.65656,3.689098,0
10.16169,Move,2.053157,1.515172,3.689099,0
10.20341,Move,2.053157,1.358088,3.689099,0
10.24397,Move,2.053157,1.185309,3.6891,0
10.28232,Move,2.053157,0.9968328,3.6891,0
10.95891,Move,2.090067,0.9999989,3.592785,0
10.96,Collect,2.090068,0.9999996,3.592786,1
11.0072,Move,2.144627,0.9999991,3.505845,1
11.04444,Move,2.20794,0.999999,3.424587,1
11.07726,Move,2.280163,0.9999982,3.344209,1
11.10452,Move,2.352166,0.9999988,3.271774,1
11.13208,Move,2.435778,0.9999981,3.193673,1
11.15605,Move,2.517382,0.9999978,3.121655,1
11.18018,Move,2.607422,0.9999991,3.045351,1
11.20174,Move,2.690583,0.9999991,2.976782,1
11.22219,Move,2.769955,0.9999992,2.912334,1
11.24464,Move,2.855734,0.9999986,2.843103,1
11.26898,Move,2.942301,0.9999985,2.773258,1
11.2931,Move,3.021307,0.9999982,2.709515,1
11.32123,Move,3.10484,0.9999992,2.64212,1
11.35083,Move,3.182742,0.9999987,2.579268,1
11.38548,Move,3.261027,0.9999993,2.51611,1
11.42951,Move,3.34023,0.9999991,2.452211,1
11.49848,Move,3.418879,0.9999994,2.388761,1
0,Start,-1.790738E-07,1,9.303034E-08,0
1.914763,Move,-0.09067672,0.9999999,0.05624931,0
1.963529,Move,-0.1902683,1,0.08993147,0
1.999459,Move,-0.2889204,0.9999999,0.1080082,0
2.029851,Move,-0.3887511,0.9999999,0.1145648,0
2.057544,Move,-0.4920847,1,0.1110142,0
2.085269,Move,-0.6060503,1,0.09728563,0
2.108362,Move,-0.7085186,1,0.07728779,0
2.129477,Move,-0.8078179,0.9999999,0.05179406,0
2.151279,Move,-0.9118639,0.9999999,0.01929699,0
2.172654,Move,-1.012265,0.9999998,-0.01730599,0
2.194291,Move,-1.112258,0.9999999,-0.05859214,0
2.21529,Move,-1.207762,0.9999998,-0.102199,0
2.236744,Move,-1.303868,0.9999999,-0.1498378,0
2.260901,Move,-1.410501,1,-0.2065741,0
2.28297,Move,-1.506634,1,-0.2607388,0
2.303952,Move,-1.597141,1,-0.3137905,0
2.326105,Move,-1.691997,0.9999998,-0.3709806,0
2.349172,Move,-1.790122,1,-0.4315989,0
2.371601,Move,-1.884613,0.9999999,-0.491988,0
2.392055,Move,-1.969717,0.9999998,-0.5487037,0
2.413581,Move,-2.057835,1,-0.6105039,0
2.434713,Move,-2.1426,0.9999999,-0.6735762,0
2.458157,Move,-2.2349,0.9999999,-0.7458357,0
2.482495,Move,-2.329048,1,-0.8229327,0
2.50574,Move,-2.417855,1,-0.8979094,0
2.525968,Move,-2.494541,0.9999999,-0.9638578,0
2.546069,Move,-2.570485,1,-1.029687,0
2.567794,Move,-2.652529,0.9999999,-1.100881,0
2.589753,Move,-2.735456,1,-1.172842,0
2.612704,Move,-2.822129,0.9999999,-1.248053,0
2.632734,Move,-2.89777,0.9999999,-1.313691,0
2.654242,Move,-2.978994,1,-1.384175,0
2.674996,Move,-3.057374,1,-1.452189,0
2.698333,Move,-3.145503,0.9999998,-1.528664,0
2.719365,Move,-3.224929,1,-1.597587,0
2.739437,Move,-3.30073,0.9999999,-1.663364,0
2.761645,Move,-3.384599,1,-1.736141,0
2.783475,Move,-3.46704,0.9999998,-1.80768,0
2.804442,Move,-3.546219,0.9999998,-1.876389,0
2.825037,Move,-3.623997,1,-1.943882,0
2.845677,Move,-3.701941,1,-2.011518,0
2.866684,Move,-3.781276,1,-2.080362,0
2.890605,Move,-3.871613,0.9999999,-2.158753,0
2.911004,Move,-3.948637,0.9999999,-2.225612,0
2.93338,Move,-4.032929,0.9999999,-2.299183,0
2.954516,Move,-4.11203,0.9999999,-2.369269,0
2.975493,Move,-4.189693,1,-2.439763,0
2.997574,Move,-4.270156,0.9999999,-2.515357,0
3.020149,Move,-4.350631,1,-2.594512,0
3.041097,Move,-4.423287,0.9999999,-2.66995,0
3.065009,Move,-4.503321,1,-2.758764,0
3.086564,Move,-4.572262,1,-2.841597,0
3.107787,Move,-4.636684,0.9999999,-2.925912,0
3.1289,Move,-4.696849,1,-3.012646,0
3.151761,Move,-4.756986,0.9999999,-3.109836,0
3.177085,Move,-4.817773,1,-3.2209,0
3.183396,Move,-4.831968,1.096076,-3.249079,0
3.200795,Move,-4.869522,1.188228,-3.327551,0
3.223249,Move,-4.914493,1.276456,-3.430413,0
3.243229,Move,-4.951612,1.36076,-3.52316,0
3.261996,Move,-4.984147,1.44114,-3.611171,0
3.280066,Move,-5.013903,1.517596,-3.69648,0
3.30074,Move,-5.046285,1.590128,-3.794644,0
3.321462,Move,-5.077353,1.658736,-3.893487,0
3.341106,Move,-5.105919,1.72342,-3.987462,0
3.361468,Move,-5.135023,1.78418,-4.085024,0
3.382607,Move,-5.165109,1.841016,-4.186347,0
3.402221,Move,-5.193026,1.893928,-4.280362,0
3.42281,Move,-5.222329,1.942916,-4.379047,0
3.443823,Move,-5.252237,1.98798,-4.479768,0
3.462946,Move,-5.279453,2.02912,-4.571424,0
3.484874,Move,-5.310663,2.066336,-4.676532,0
3.507497,Move,-5.342861,2.099628,-4.784966,0
3.527874,Move,-5.371863,2.128996,-4.882636,0
3.553906,Move,-5.408915,2.154439,-5.007417,0
3.57645,Move,-5.441001,2.175959,-5.115474,0
3.596493,Move,-5.469527,2.193555,-5.211544,0
3.616908,Move,-5.498583,2.207227,-5.309396,0
3.641222,Move,-5.533189,2.222799,-5.425937,0
3.661318,Move,-5.561791,2.224699,-5.522262,0
3.682059,Move,-5.59131,2.222675,-5.621674,0
3.702462,Move,-5.620349,2.216727,-5.719471,0
3.725693,Move,-5.653411,2.206856,-5.830819,0
3.746365,Move,-5.682835,2.19306,-5.929907,0
3.767498,Move,-5.712912,2.17534,-6.031199,0
3.788054,Move,-5.742169,2.153696,-6.129729,0
3.809362,Move,-5.772496,2.128128,-6.231861,0
3.829645,Move,-5.801364,2.098636,-6.329081,0
3.851722,Move,-5.832787,2.06522,-6.434901,0
3.872365,Move,-5.862166,2.02788,-6.533842,0
3.892811,Move,-5.891266,1.986616,-6.631845,0
3.910969,Move,-5.91711,1.941428,-6.718878,0
3.93095,Move,-5.945549,1.892316,-6.814652,0
3.951447,Move,-5.974722,1.83928,-6.912899,0
3.969053,Move,-5.99978,1.782321,-6.997285,0
